Latitude(deg.),Longitude(deg.),Slant_Range(m),Incidence_Angle(deg.)
-80.375557,79.827476,111854.968944,25.695918
-80.374259,79.718111,112158.984939,25.954935
-80.372637,79.582747,112462.146911,26.292839
-80.371222,79.469820,112766.065026,26.561273
-80.369842,79.362954,113070.241313,26.810404
-80.380838,80.252145,110639.055127,24.690611
-80.379783,80.154296,110943.403138,24.917411
-80.378740,80.060574,111247.894463,25.130803
-80.377478,79.947649,111551.705487,25.402272
-80.376103,79.827528,111854.908557,25.695095
-80.374802,79.717783,112158.984768,25.955242
-80.373171,79.581697,112462.097577,26.295338
-80.371761,79.469145,112766.074836,26.562593
-80.370382,79.362393,113070.244795,26.811358
-80.381373,80.250917,110639.019644,24.693768
-80.380316,80.153005,110943.368298,24.920743
-80.379270,80.059004,111247.836817,25.134975
-80.378014,79.946704,111551.693732,25.404505
-80.376648,79.827395,111855.000211,25.694800
-80.375342,79.717220,112158.970015,25.956268
-80.373705,79.580606,112462.045581,26.297965
-80.372300,79.468528,112766.088030,26.563734
-80.370922,79.361861,113070.251065,26.812224
-80.381907,80.249681,110638.983291,24.696953
-80.380850,80.151708,110943.332461,24.924093
-80.379799,80.057257,111247.756634,25.139693
-80.378551,79.945825,111551.677432,25.406536
-80.377194,79.827337,111854.921425,25.694317
-80.375879,79.716424,112159.001441,25.957994
-80.374240,79.579552,112462.013615,26.300471
-80.372839,79.467873,112766.081055,26.564998
-80.371463,79.361341,113070.257715,26.813054
-80.382441,80.248429,110638.946514,24.700185
-80.381386,80.150621,110943.304736,24.926800
-80.380327,80.055431,111247.677428,25.144650
-80.379089,79.944975,111551.658427,25.408477
-80.377735,79.826851,111854.968371,25.695111
-80.376420,79.715874,112159.015108,25.958972
-80.374775,79.578527,112461.990648,26.302889
-80.373377,79.467206,112766.067436,26.566297
-80.372003,79.360823,113070.262833,26.813875
-80.382975,80.247159,110638.909078,24.703470
-80.381922,80.149646,110943.280241,24.929161
-80.380857,80.053729,111247.638737,25.149220
-80.379626,79.944159,111551.633325,25.410316
-80.378274,79.826208,111855.004316,25.696387
-80.376961,79.715420,112159.001429,25.959663
-80.375309,79.577444,112461.947949,26.305487
-80.373916,79.466538,112766.046533,26.567603
-80.372543,79.360250,113070.258309,26.814870
-80.383509,80.245870,110638.870977,24.706816
-80.382456,80.148356,110943.242985,24.932491
-80.381387,80.052185,111247.605441,25.153306
-80.380161,79.943034,111551.603578,25.413100
-80.378810,79.825190,111854.814427,25.698865
-80.377504,79.715169,112159.015448,25.959729
-80.375843,79.576364,112461.903248,26.308077
-80.374454,79.465844,112766.015237,26.568992
-80.373082,79.359647,113070.247364,26.815956
-80.384043,80.244544,110638.831224,24.710274
-80.382989,80.147026,110943.203033,24.935943
-80.381919,80.050749,111247.576065,25.157060
-80.380694,79.941745,111551.577026,25.416386
-80.379344,79.824042,111854.891991,25.701673
-80.378048,79.714953,112159.037566,25.959684
-80.376378,79.575339,112461.862940,26.310496
-80.374992,79.465053,112765.944613,26.570686
-80.373619,79.358869,113070.206492,26.817582
-80.384576,80.243203,110638.791336,24.713779
-80.383523,80.145767,110943.166534,24.939174
-80.382451,80.049293,111247.537683,25.160877
-80.381226,79.940386,111551.522549,25.419891
-80.379881,79.823170,111854.956442,25.703642
-80.378593,79.714794,112159.105553,25.959454
-80.376914,79.574462,112461.839838,26.312457
-80.375530,79.464327,112765.884624,26.572176
-80.374157,79.358143,113070.171777,26.819052
-80.385110,80.241830,110638.750130,24.717381
-80.384057,80.144542,110943.129654,24.942304
-80.382982,80.047820,111247.496080,25.164746
-80.381758,79.938919,111551.444788,25.423730
-80.380419,79.822356,111854.751501,25.705496
-80.379135,79.714437,112159.112389,25.959847
-80.377454,79.573823,112461.798581,26.313699
-80.376069,79.463698,112765.840634,26.573369
-80.374696,79.357530,113070.150819,26.820169
-80.385643,80.240467,110638.709875,24.720950
-80.384591,80.143308,110943.091176,24.945461
-80.383512,80.046101,111247.432901,25.169371
-80.382293,79.937864,111551.414632,25.426300
-80.380953,79.821288,111854.773416,25.708074
-80.379673,79.713667,112159.085925,25.961505
-80.377994,79.573264,112461.778280,26.314689
-80.376608,79.463032,112765.810175,26.574668
-80.375236,79.356959,113070.132393,26.821160
-80.386176,80.239128,110638.670026,24.724447
-80.385123,80.141814,110943.042908,24.949414
-80.384040,80.044332,111247.366384,25.174149
-80.382828,79.936738,111551.381718,25.429086
-80.381488,79.820223,111854.790620,25.710642
-80.380210,79.712782,112159.044049,25.963521
-80.378534,79.572765,112461.758200,26.315497
-80.377146,79.462341,112765.816824,26.576037
-80.375776,79.356422,113070.112881,26.822044
-80.386710,80.237798,110638.630680,24.727916
-80.385654,80.140234,110942.989405,24.953629
-80.384568,80.042499,111247.284276,25.179125
-80.383361,79.935465,111551.342665,25.432323
-80.382023,79.819163,111854.802628,25.713195
-80.380745,79.711785,112159.012498,25.965874
-80.379076,79.572327,112461.765547,26.316111
-80.377686,79.461784,112765.839183,26.576992
-80.376316,79.355894,113070.086225,26.822904
-80.387243,80.236469,110638.590904,24.731382
-80.386188,80.139006,110942.959855,24.956766
-80.385097,80.040752,111247.224378,25.183835
-80.383893,79.934111,111551.303126,25.435807
-80.382559,79.818127,111854.820355,25.715674
-80.381280,79.710720,112159.000504,25.968426
-80.379617,79.571902,112461.777514,26.316682
-80.378226,79.461252,112765.864535,26.577868
-80.376856,79.355371,113070.056622,26.823749
-80.387777,80.235127,110638.550846,24.734884
-80.386722,80.137727,110942.926398,24.960057
-80.385627,80.039117,111247.181296,25.188199
-80.384425,79.932713,111551.268733,25.439422
-80.383094,79.817113,111854.832451,25.718087
-80.381815,79.709661,112159.001314,25.970961
-80.380159,79.571532,112461.790525,26.317086
-80.378767,79.460798,112765.879311,26.578507
-80.377397,79.354887,113070.031142,26.824475
-80.388310,80.233772,110638.510184,24.738428
-80.387253,80.136229,110942.880569,24.964021
-80.386157,80.037549,111247.141624,25.192354
-80.384958,79.931398,111551.240523,25.442786
-80.383629,79.816061,111854.827740,25.720619
