PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction,anomaly_score,is_anomaly_iforest_label,anomaly_rank
SP_814960_0183290,-81.496,18.329,5.299,29,0,0.275862069,-0.113646226,FALSE,254
SP_847880_3354420,-84.788,335.442,6.844,32,0.21875,0.75,-0.113729624,FALSE,255
SP_838780_3211110,-83.878,321.11,11.808,71,0.154929577,0.718309859,-0.114052712,FALSE,256
SP_831370_3119250,-83.136,311.923,12.438,75,0.066666667,0.426666667,-0.114067068,FALSE,257
SP_806510_0507610,-80.65,50.761,15.109,87,0,0.275862069,-0.114093992,FALSE,258
SP_869250_0482770,-86.925,48.276,10.919,37,0.081081081,0.72972973,-0.114360689,FALSE,259
SP_878330_1263810,-87.832,126.38,11.099,66,0,0.090909091,-0.114675061,FALSE,260
SP_820070_0167090,-82.007,16.709,12.994,53,0,0.698113208,-0.114769539,FALSE,261
SP_830450_2084240,-83.045,208.424,6.772,39,0,0.179487179,-0.11586084,FALSE,262
SP_807960_1146420,-80.796,114.642,11.745,62,0,0.129032258,-0.11587704,FALSE,263
SP_818520_3197490,-81.852,319.749,5.926,23,0,0.652173913,-0.115952862,FALSE,264
SP_889730_0648850,-88.973,64.885,5.814,34,0.117647059,0.647058824,-0.115970487,FALSE,265
SP_847720_1650130,-84.772,165.013,11.596,26,0.038461538,0.653846154,-0.11616428,FALSE,266
SP_853430_1441490,-85.343,144.149,9.076,53,0.150943396,0.566037736,-0.116193858,FALSE,267
SP_835040_2720960,-83.504,272.097,14.886,81,0.086419753,0.654320988,-0.116196154,FALSE,268
SP_876470_0668600,-87.647,66.86,5.9,36,0.166666667,0.583333333,-0.116488944,FALSE,269
SP_831760_2041370,-83.176,204.137,5.137,23,0.086956522,0.652173913,-0.116495512,FALSE,270
SP_812380_0532000,-81.238,53.2,6.354,37,0,0.189189189,-0.116744553,FALSE,271
SP_811530_3275110,-81.153,327.511,6.073,32,0,0.25,-0.116824839,FALSE,272
SP_841480_2552970,-84.148,255.297,7.844,45,0.177777778,0.555555556,-0.117039166,FALSE,273
SP_830590_0483090,-83.059,48.309,6.106,38,0.105263158,0.473684211,-0.11739061,FALSE,274
SP_814340_3246240,-81.434,324.624,19.386,109,0.027522936,0.532110092,-0.117455723,FALSE,275
SP_889130_1507620,-88.913,150.762,15.563,48,0,0.625,-0.117561671,FALSE,276
