PSR_ID,lat,lon,area_km2,px_with_radar_data,high_tier_fraction,moderate_plus_fraction
SP_869290_1543540,-86.929,154.354,8.928,26,0.038461538461538464,0.8461538461538461
SP_872560_3120600,-87.256,312.056,20.495,78,0.038461538461538464,0.2692307692307692
SP_847720_1650130,-84.772,165.013,11.596,26,0.038461538461538464,0.6538461538461539
SP_869800_1078330,-86.98,107.833,68.591,403,0.03722084367245657,0.45161290322580644
SP_840340_2688620,-84.034,268.862,9.605,55,0.03636363636363636,0.6181818181818182
SP_847630_0851660,-84.763,85.166,5.108,29,0.034482758620689655,0.3448275862068966
SP_834150_2749360,-83.412,274.909,39.431,235,0.03404255319148936,0.48936170212765956
SP_807890_1344870,-80.789,134.487,5.238,30,0.03333333333333333,0.5666666666666667
SP_846780_3207920,-84.678,320.792,5.512,30,0.03333333333333333,0.16666666666666666
SP_889630_1297830,-88.963,129.783,6.001,30,0.03333333333333333,0.9
SP_835340_3009100,-83.534,300.91,5.897,30,0.03333333333333333,0.5333333333333333
SP_874930_3578760,-87.493,357.877,1017.976,5761,0.03245964242319042,0.261065787189724
SP_837670_3387710,-83.767,338.772,143.024,776,0.03221649484536082,0.47680412371134023
SP_832950_1495450,-83.295,149.545,114.754,655,0.03206106870229008,0.40458015267175573
SP_862670_2349900,-86.267,234.99,16.027,95,0.031578947368421054,0.3368421052631579
SP_819690_0250940,-81.969,25.095,95.332,327,0.03058103975535168,0.345565749235474
SP_881000_1147820,-88.1,114.79,183.312,819,0.030525030525030524,0.20024420024420025
SP_804340_0358560,-80.434,35.856,6.235,33,0.030303030303030304,0.09090909090909091
SP_864480_2507240,-86.448,250.724,6.034,34,0.029411764705882353,0.5882352941176471
SP_853600_3177620,-85.36,317.758,42.718,249,0.028112449799196786,0.1646586345381526
SP_843560_1239210,-84.356,123.921,35.881,181,0.027624309392265192,0.5911602209944752
SP_814340_3246240,-81.434,324.624,19.386,109,0.027522935779816515,0.5321100917431193
SP_880260_0452790,-88.026,45.279,1075.518,2968,0.026617250673854446,0.24494609164420486
SP_849040_3196480,-84.904,319.648,19.544,115,0.02608695652173913,0.17391304347826086
SP_843960_2077750,-84.396,207.775,72.346,402,0.024875621890547265,0.23134328358208955
SP_890390_3377770,-89.038,337.786,60.426,244,0.02459016393442623,0.4426229508196721
SP_893260_0196510,-89.326,19.651,7.823,44,0.022727272727272728,0.75
SP_833910_3116550,-83.391,311.655,7.913,45,0.022222222222222223,0.6444444444444445
SP_812340_1138520,-81.234,113.852,8.765,49,0.02040816326530612,0.1836734693877551
SP_851120_3049850,-85.112,304.985,8.654,50,0.02,0.46
SP_842450_2744930,-84.245,274.493,7.898,50,0.02,0.12
SP_869770_0325310,-86.977,32.531,8.748,53,0.018867924528301886,0.5471698113207547
SP_842540_3177610,-84.254,317.761,9.99,56,0.017857142857142856,0.08928571428571429
SP_814140_2963110,-81.414,296.311,43.111,175,0.017142857142857144,0.42857142857142855
SP_814010_0196980,-81.401,19.698,14.03,66,0.015151515151515152,0.7878787878787878
SP_885280_1846930,-88.528,184.689,11.624,67,0.014925373134328358,0.31343283582089554
SP_882490_2164550,-88.249,216.455,548.953,2233,0.014778325123152709,0.322884012539185
SP_816910_3053810,-81.69,305.38,377.809,2005,0.013466334164588529,0.22194513715710723
SP_859560_3063890,-85.956,306.389,12.791,79,0.012658227848101266,0.3291139240506329
SP_867440_0218610,-86.744,21.858,237.51,1390,0.01223021582733813,0.14532374100719425
SP_815900_2903180,-81.59,290.318,15.235,88,0.011363636363636364,0.2727272727272727
SP_820880_1687420,-82.088,168.742,47.45,278,0.01079136690647482,0.20503597122302158
SP_873660_3292250,-87.366,329.225,33.728,198,0.010101010101010102,0.2878787878787879
SP_806710_1408660,-80.671,140.867,18.803,109,0.009174311926605505,0.22018348623853212
SP_824450_2271370,-82.445,227.137,20.005,111,0.009009009009009009,0.3333333333333333
SP_812090_0460390,-81.209,46.036,33.419,120,0.008333333333333333,0.13333333333333333
SP_803930_0373630,-80.393,37.363,21.442,123,0.008130081300813009,0.12195121951219512
SP_818450_3211710,-81.845,321.171,22.756,132,0.007575757575757576,0.1893939393939394
SP_823950_3576610,-82.393,357.661,61.238,302,0.006622516556291391,0.10264900662251655
SP_807910_0455060,-80.791,45.507,85.403,179,0.00558659217877095,0.3407821229050279
SP_874430_1188390,-87.443,118.839,61.506,359,0.005571030640668524,0.1977715877437326
